nomvar,description_fr,description_en,unit
DPFC,Pression du NCL d''une parcelle définie par l''utilisateur,User defined parcel pressure LFC,hectoPascal
DPVC,Pression du NCL utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel pressure LFC using virtual temperature,hectoPascal
DPVE,Pression du NE utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel pressure EL using virtual temperature,hectoPascal
DQ,Niveau Abri Humidite Specifique,Screen Level Specific Humidity,scalar
DR,Drainage de l''eau au fond de la couche de sol,Water drainage at bottom of soil layer,cubicMeter_per_cubicMeter
DS,Direction de la houle,Direction of swell,degree
DT,Correction de température de surface,Surface temperature correction,celsius
DTEL,Température du NE d''une parcelle définie par l''utilisateur,User defined parcel temperature EL,celsius
DTFC,Température du NCL d''une parcelle définie par l''utilisateur,User defined parcel temperature LFC,celsius
DTLP,Température de la parcelle soulevée pour une parcelle définie par l''utilisateur,Temperature of lifted user defined parcel,celsius
DTVC,Température du NCL utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel temperature LFC using virtual temperature,celsius
DTVE,Température du NE utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel temperature EL using virtual temperature,celsius
DVCN,EIC (CIN) utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel CIN using VT,specificEnergy
DVCP,EPCD (CAPE) utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel CAPE using VT,specificEnergy
DVLP,Température virtuelle de la parcelle soulevée pour une parcelle définie par l''utilisateur,Virtual temperature of lifted user defined parcel,celsius
DW,Rosée (QPF),Dew (QPF),scalar
DZ,Epaisseur entre 2 Niveaux (GZ),Thickness between two levels (GZ),decameter
DZEL,Hauteur du NE d''une parcelle définie par l''utilisateur,User defined parcel height EL,meter
DZFC,Hauteur du NCL d''une parcelle définie par l''utilisateur,User defined parcel height LFC,meter
DZVC,Hauteur du NCL utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel height LFC using virtual temperature,meter
DZVE,Hauteur du NE utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel height EL using virtual temperature,meter
E1,Coordonnée Verticale au Toit du Modèle,Vertical coordinate at model top,scalar
E1T,Geometrie de grille Arakawa(e1t),Arakawa grid geometry(e1t),meter
E1U,Geometrie de grille Arakawa(e1u),Arakawa grid geometry(e1u),meter
E1V,Geometrie de grille Arakawa(e1v),Arakawa grid geometry(e1v),meter
E2,Ecoulement sur sol,Overland runoff,kilogram_per_squareMeter
E2T,Geometrie de grille Arakawa(e2t),Arakawa grid geometry(e2t),meter
E2U,Geometrie de grille Arakawa(e2u),Arakawa grid geometry(e2u),meter
E2V,Geometrie de grille Arakawa(e2v),Arakawa grid geometry(e2v),meter
E3T,Geometrie de grille Arakawa(e3t),Arakawa grid geometry(e3t),meter
E4,Tendance diffusive de EN,Diffusive tendency of EN,squareMeter_per_cubicSecond
EA2,emission Alkene,Alkene emission,gram_per_second
EA3,emission Alkane,Alkane emission,gram_per_second
EALD,emission acetaldehyde,acetaldehyde emission,gram_per_second
EARO,emission aromatique,aromatic emission,gram_per_second
EB,Production thermique,Thermal production,squareMeter_per_cubicSecond
EC1X,carbone elementaire 2.5um,elemental carbon fine (2.5um),microgram_per_cubicMeter
EC2X,carbone elementaire 10um,elemental carbon coarse (10um),microgram_per_cubicMeter
EC38,emission de propane,propane emission,gram_per_second
ECC,Couverture nuageuse effective totale (cccmarad),Total effective cloud cover (cccmarad),scalar
ECCH,Couverture nuageuse effective aux niveaux eleves (cccmarad),Fffective mid level cloud clover (cccmarad),scalar
ECCL,couverture nuageuse effective aux niveaux bas (cccmarad),Effective low level cloud cover (cccmarad),scalar
ECCM,couverture nuageuse effective aux niveaux moyens (cccmarad),Effective mid level cloud cover (cccmarad),scalar
ECM1,emission poussiere de sol 2.5um,crustal material fine emissions (2.5um),gram_per_second
ECM2,emission poussiere de sol 10um,crustal material coarse emissions (10um),gram_per_second
ECO,emission de monoxyde de carbone,carbon monoxide emission,gram_per_second
ECRE,emission de o-creosol,o-creosol emission,gram_per_second
ED,Dissipation visqueuse,Viscous dissipation,squareMeter_per_cubicSecond
EEC1,emission carbone elementaire 2.5um,elemental carbon emissions fine (2.5um),gram_per_second
EEC2,emission carbone elementaire 10um,elemental carbon emissions coarse (10um),gram_per_second
EETH,emission ethene,Ethene emission,gram_per_second
EH,Hauteur des sommets des échos radars,Radar echo tops height,meter
EHCH,emission de formaldehyde,formaldehyde emission,gram_per_second
EHON,emission acide nitreux,nitrous acid emission,gram_per_second
EI,Énergie infrarouge sortant de l''atmosphère,Outgoing infrared energy exiting the atmosphere,watt_per_squareMeter
EISO,emission isoprene,isoprene emission,gram_per_second
EM,Production mécanique,Mechanical production,squareMeter_per_cubicSecond
EMEK,emission de methyl ethyl cetone,methyl ethyl ketone emission,gram_per_second
EN,Énergie cinétique turbulente,Turbulent kinetic energy,squareMeter_per_secondSquared
ENH3,emission ammoniac,ammonia emission,gram_per_second
ENN,energie negative dans la couche,negative energy in the layer,specificEnergy
ENO,Emission de monoxyde azote,Nitrogen monoxide emmision,gram_per_second
ENO2,emission de dioxyde azote,nitrogen dioxide emmision,gram_per_second
ENP,energie positive dans la couche,positive energy in the layer,specificEnergy
EP,Eau précipitable entre eta-1.0 et 0.4,Precipitable water between eta-1.0 and 0.4,millimeter
EPC1,emission carbone organique primaire 2.5um,primary organic carbon emissions fine(2.5um),gram_per_second
EPC2,emission carbone organique primaire 10um,primary organic carbon emissions coarse,gram_per_second
ER,Taux de variation de l''énergie turbulente (RES),Turbulent energy variation rate (RES),squareMeter_per_cubicSecond
ES,Écart du point de rosée,Dew point depression,celsius
ESIO,emission biogenique isoprene (std ete),isoprene biogenic emission (std summer),gram
ESMO,emission biogenique monoterpene(ete std),monoterpenes biogenic emission-(std summer),gram
ESNO,Emission biogenique de monoxyde azote (ete std),Nitrogen monoxide biogenic emission (std summer),gram
ESO2,emission de dioxyde de soufre,sulphur dioxide emission,gram_per_second
ESO4,emission de sulfate,sulphate emission,gram_per_second
ESU1,emission sulfate 2.5um,sulphate emissions fine (2.5um),gram_per_second
ESU2,emission sulfate 10um,sulphate emissions coarse (10um),gram_per_second
ESVO,emission biogeniques COV (ete std),VOC biogenic emission (std summer),gram
ET,Transport turbulent,Turbulent transport,squareMeter_per_cubicSecond
ETOL,emission de toluene,toluene emission,gram_per_second
EV,Énergie visible sortant de l''atmosphère,Outgoing visible energy exiting the atmosphere,watt_per_squareMeter
EWIO,emission biogenique isoprene (std hiver),isoprene biogenic emission (std winter),gram
EWMO,emission biogenique monoterpene (hiver std),monoterpenes biogenic emission (std winter),gram
EWNO,Emission biogenique de monoxyde azote (std hiver),Nitrogen monoxide biogenic emission (std winter),gram
EWVO,emission biogeniques COV (hiver std),VOC biogenic emission (std winter),gram
F1,Accumulation d''energie dans la couche limite,Energy accumulation in the boundary layer,joule_per_squareMeter
F2,Épaisseur de la couche limite,Thickness of the boundary layer,meter
F3,Écart de température entre le sol et sigma,Temperature spread between surface and sigma,kelvin
F4,Flux Chaleur Sensible au-dessus sol (Instantanne),Sensible Heat Flux over Soil (Instantaneous),watt_per_squareMeter
F5,Flux Chaleur Sensible au-dessus glacier (Instantanne),Sensible Heat Flux over Glacier (Instantaneous),watt_per_squareMeter
F6,Flux Chaleur Sensible au-dessus eau (Instantanne),Sensible Heat Flux over Water (Instantaneous),watt_per_squareMeter
F7,Flux Chaleur Sensible au-dessus glace (Instantanne),Sensible Heat Flux over Ice (Instantaneous),watt_per_squareMeter
FB,Flux solaire vers le bas,Downward solar flux,watt_per_squareMeter
FC,Flux de chaleur sensible de la surface vers l''atmosphere,Upward surface sensible heat flux,watt_per_squareMeter
FD,Facteur d''amplification d''erreur,Error amplification factor,scalar
FDX,Différence d''un champ en chaque point de grille,Field difference,scalar
FDY,Différence d''un champ en chaque point de grille,Field difference,scalar
FDZ,Différence d''un champ en chaque point de grille,Field difference,scalar
FE,Facteur d''évaporation,Evaporation factor,scalar
FH,Flux accumulé d''ondes courtes vers le haut (HV accumulé),Upward accumulated short wave flux (accumulated HV),joule_per_squareMeter
FI,Flux infra-rouge arrivant à la surface,Surface incoming infrared flux,watt_per_squareMeter
FL,Flux de chaleur dans le sol,Soil heat flux,watt_per_squareMeter
FN,Fraction Nuageuse,Cloud fraction,scalar
FO,Gel (rosée en phase solide) (QPF),Frost (QPF),scalar
FP,Probabilité de précipitation prévue,Probability of precipitation forecast,scalar
FQ,Flux de quantité de mouvement à la surface,Momentum flux at surface,pascal
FR,Pluie verglaçante (QPF),Freezing rain (QPF),meter
FR1,Bruine verglacante accumulee (Milbrant and Yau),Accumulated freezing drizzle (Milbrant and Yau),meter
FR2,Pluie verglacante accumulee (Milbrant and Yau),Accumulated freezing rain (Milbrant and Yau),meter
FRH,hauteur du niveau de congelation,Freezing level height,decameter
FRO,Nomber de Froude,Froude number,scalar
FRP,Pression du niveau de congelation,PresSure of the freezing level,hectoPascal
FS,Flux solaire absorbé à la surface,Solar flux absorbed at surface,watt_per_squareMeter
FSD,Flux solaire direct vers le bas a la surface (cccmarad),Direct solar downward flux at the surface (cccmarad),watt_per_squareMeter
FSF,Flux solaire diffus vers le bas a la surface (cccmarad),Diffuse solar downward flux at the surface (cccmarad),watt_per_squareMeter
FSI,Flux solaire proche IR vers le bas a la surface (cccmarad),Near infrared solar downward flux at the surface (cccmarad),watt_per_squareMeter
FSV,Flux visible vers le bas a la surface (cccmarad),Visible downward flux at the surface (cccmarad),watt_per_squareMeter
FU,Niveau de congélation le plus élevé,Highest freezing level,hundredsOfFeet
FUP,Niveau de congélation le plus élevé,Highest freezing level,millibar
FV,Flux de chaleur latente de la surface vers l''atmosphere,Upward surface latent heat flux,watt_per_squareMeter
FW,Givrage Blanc + Clair,Rime + Clear Icing,scalar
G3,Temperature Radiative,Radiative Temperature,kelvin
G6,Taux Precipitation-Liquide,Precipitation Rate-Liquid,meter_per_second
G7,Taux Precipitation-Solide,Precipitation Rate-Solid,meter_per_second
GA,Masque de glacier,Glacier mask,scalar
GDX,Distance de points de grille - centrée celon l''axe des X,X axis Grid point centered distance,meter
GDY,Distance de points de grille - centrée celon l''axe des Y,Y axis Grid point centered distance,meter
GE,Epaiiseur volumique de glace (vol/surface),Volumic ice thickness (vol/area),centimeter
GG,Parametre resistance stomatique,Stomatal Resistance Parameter,second_per_meter
GI,Givrage Blanc,Rime Icing,kilogram_per_kilogram
GL,Fraction de glace,Ice fraction,scalar
GR,Type de précipitation - grésil,Precipitation type - ice pellets,scalar
GS,Masque sol/eau/neige/glace,soil/water/snow/ice/mask,scalar
GU,Tendance selon UU de la résistance due à l''onde de gravité,Gravity wave drag tendency of UU,meter_per_second_per_day
