stationintlid, stationalphaid , canregcode, stationname, latdegmin, latitudecardinaldirection , londegmin, longitudecardinaldirection , stationelevation, terrainelevation, dataavailabilitycode, stationreliabilityflag
'72000','KW43',NULL,'HULETT WY, US',4440,'N',10434,'W',NULL,1300,'1','1'
'72000','K4I3',NULL,'MOUNT VERNON OH, US',4020,'N',8232,'W',NULL,363,'2','1'
'72000','KRYN',NULL,'TUCSON AZ, US',3209,'N',11110,'W',NULL,737,'1','1'
'72000','KCVH',NULL,'HOLLISTER CA, US',3654,'N',12125,'W',NULL,70,'2','1'
'72000','K1M4',NULL,'HALEYVILLE AL, US',3417,'N',8736,'W',NULL,283,'2','1'
'72000','KFCT',NULL,'YAKIMA WA, US',4640,'N',12027,'W',NULL,418,'2','1'
'72000','KCWV',NULL,'CLAXTON GA, US',3212,'N',8152,'W',NULL,34,'2','1'
'72000','KGAI',NULL,'GAITHERSBURG MD, US',3910,'N',7710,'W',NULL,164,'2','1'
'72000','KQSA',NULL,'BAGRAM, AH (US-MIL)',3457,'N',6947,'E',1492,NULL,'1','1'
'72000','KQKW',NULL,'SEIGENBURG RANGE, DL (US-MIL)',4845,'N',1148,'E',397,NULL,'2','1'
'72000','KQHT',NULL,'MANAS, KG (US-MIL)',4304,'N',7412,'E',756,NULL,'1','1'
'72000','KQGV',NULL,'ALI AL SEALEM, KW (US-MIL)',2920,'N',4731,'E',146,NULL,'2','1'
'72000','KK46',NULL,'BLAIR MUNICIPAL AIRPORT NE, US',4125,'N',9607,'W',NULL,404,'2','1'
'72000','KOBE',NULL,'OKEECHOBEE FL, US (AUT)',2716,'N',8051,'W',NULL,10,'2','1'
'72000','KMQS',NULL,'COATESVILLE PA, US (AUT)',3959,'N',7552,'W',NULL,201,'2','1'
'72000','KEGI',NULL,'CRESTVIEW (MILITARY) FL, US (AUT)',3039,'N',8631,'W',NULL,58,'2','1'
'72000','KMJX',NULL,'TOMS RIVER NJ, US',3956,'N',7418,'W',NULL,25,'2','1'
'72000','KDVO',NULL,'NOVATO CA,US',3809,'N',12233,'W',NULL,1,'2','1'
'72000','KAXX',NULL,'ANGEL FIRE NM, US',3625,'N',10517,'W',NULL,2554,'1','1'
'72000','KTVK',NULL,'CENTERVILLE-MUNICIPAL A IA, US',4041,'N',9254,'W',NULL,313,'2','1'
'72000','KOJA',NULL,'WEATHERFORD OK, US',3533,'N',9840,'W',NULL,489,'2','1'
'72000','KIFA',NULL,'IOWA FALLS MUNICIPAL AIRPORT IA, US',4228,'N',9316,'W',NULL,347,'2','1'
'72000','KCNW',NULL,'WACO TSTC TX, US',3138,'N',9704,'W',NULL,143,'2','1'
'72000','KMCC',NULL,'SACRAMENTO MCCLELLAN A CA, US',3840,'N',12124,'W',NULL,23,'2','1'
'72000','KCCA',NULL,'CLINTON MUNICIPAL A AR, US',3536,'N',9227,'W',NULL,157,'2','1'
'72000','KDMW',NULL,'WESTMINSTER MD, US',3937,'N',7700,'W',NULL,240,'2','1'
'72000','KL35',NULL,'BIG BEAR CITY CA, US',3416,'N',11651,'W',NULL,2058,'1','1'
'72000','KCDH',NULL,'CAMDEN HARRELL FIELD A AR, US',3337,'N',9246,'W',NULL,40,'2','1'
'72000','KY50',NULL,'WAUTOMA MINICIPAL A WI, US',4403,'N',8918,'W',NULL,262,'2','1'
'72000','KH78',NULL,'MISSISSIPPI BLOCK 778 PLATFORM, US',2811,'N',8829,'W',43,0,'2','1'
'72000','KCWC',NULL,'WICHITA FALLS TX, US',3351,'N',9829,'W',NULL,304,'2','1'
'72000','KRCM',NULL,'WARRENSBURG MO, US',3847,'N',9348,'W',NULL,243,'2','1'
'72000','KM89',NULL,'ARKADELPHIA AR, US',3406,'N',9304,'W',NULL,56,'2','1'
'72000','KCLS',NULL,'CHEHALIS WA, US',4641,'N',12259,'W',NULL,54,'2','1'
'72000','K6S2',NULL,'FLORENCE MUNICIPAL AIRPORT, OR US',4359,'N',12407,'W',NULL,15,'2','1'
'72000','KHOE',NULL,'HOMERVILLE GA, US',3103,'N',8246,'W',57,NULL,'2','1'
'72000','KUNI',NULL,'ATHENS/ALBANY OH, US',3913,'N',8213,'W',NULL,234,'2','1'
'72000','KBPP',NULL,'BOWMAN MUNICIPAL A ND, US',4611,'N',10326,'W',NULL,902,'1','1'
'72000','KBEA',NULL,'BEEVILLE TX, US',2822,'N',9747,'W',NULL,82,'2','1'
'72000','KTFP',NULL,'INGLESIDE TX, US',2755,'N',9713,'W',NULL,5,'2','1'
'72000','KPLU',NULL,'PUYALLUP WA, US',4706,'N',12217,'W',NULL,164,'2','1'
'72000','KPEZ',NULL,'PLEASANTON TX, US',2857,'N',9831,'W',NULL,131,'2','1'
'72000','KHRX',NULL,'HEREFORD TX, US',3451,'N',10220,'W',NULL,1154,'1','1'
'72000','KRME',NULL,'ROME, NY',4314,'N',7524,'W',NULL,154,'2','1'
'72000','KFMN',NULL,'FOUR CORNERS REGIONAL AIRPORT, NM',3645,'N',10814,'W',1677,NULL,'1','1'
'72000','KBDH',NULL,'WILLMAR MUNICIPAL AIRPORT, MN',4507,'N',9508,'W',NULL,343,'2','1'
'72000','KAFP',NULL,'WADESBORO, NC',3501,'N',8005,'W',NULL,91,'2','1'
'72000','K2W6',NULL,'LEONARDTOWN, MD',3818,'N',7633,'W',NULL,43,'2','1'
'72000','KFSK',NULL,'FORT SCOTT MUNICIPAL A, KS',3748,'N',9446,'W',NULL,280,'2','1'
'72000','KPMV',NULL,'PLATTSMOUTH MUNICIPAL A, NE',4057,'N',9555,'W',NULL,366,'2','1'
'72000','KAJO',NULL,'CORONA MUNICIPAL, CA',3354,'N',11736,'W',NULL,162,'2','1'
'72000','KHAI',NULL,'THREE RIVERS, MI',4158,'N',8536,'W',NULL,251,'2','1'
'72000','K0CO',NULL,'BERTHOUD PASS, CO (AUT)',3948,'N',10546,'W',NULL,3807,'1','1'
'72000','KCGE',NULL,'CAMBRIDGE-DORCHESTER, MD',3832,'N',7602,'W',NULL,5,'2','1'
'72000','KGGI',NULL,'GRINNELL, IA',4143,'N',9244,'W',NULL,307,'2','1'
'72000','KW29',NULL,'STEVENSVILLE, MD',3859,'N',7620,'W',NULL,5,'2','1'
'72000','KRJD',NULL,'RIDGELY, MD',3858,'N',7552,'W',NULL,20,'2','1'
'72000','KMWO',NULL,'MIDDLETOWN, OH',3932,'N',8424,'W',NULL,198,'2','1'
'72000','KQMA',NULL,'AL FALLUJAH, IQ',3319,'N',4353,'E',NULL,38,'2','1'
'72000','KDRM',NULL,'DRUMMOND ISLAND, MI',4601,'N',8345,'W',NULL,204,'2','1'
'72000','K8A0',NULL,'ALBERVILLE MUNICIPAL A, AL',3413,'N',8615,'W',NULL,315,'2','1'
'72000','KJKA',NULL,'GULF SHORES, AL',3017,'N',8740,'W',NULL,5,'2','1'
'72000','KSGH',NULL,'SPRINGFIELD BECKLEY A, OH',3950,'N',8350,'W',NULL,320,'2','1'
'72000','KEKQ',NULL,'MONTICELLO WAYNE COUNTY A, KY',3651,'N',8451,'W',NULL,294,'2','1'
'72000','KBQP',NULL,'BASTROP MOREHOUSE MEMORIAL A, LA',3245,'N',9152,'W',NULL,51,'2','1'
'72000','KUCP',NULL,'NEW CASTLE MUNICIPAL A, PA',4101,'N',8024,'W',NULL,327,'2','1'
'72000','K1P1',NULL,'PLYMOUTH MUNICIPAL A, NH (AUT)',4336,'N',7145,'W',NULL,154,'2','1'
'72000','K3I2',NULL,'POINT PLEASANT M COUNTY A, WV (AUT)',3855,'N',8206,'W',NULL,196,'2','1'
'72000','KVJI',NULL,'ABINGTON, VA',3641,'N',8202,'W',631,NULL,'1','1'
'72000','KADH',NULL,'ADA, OK',3448,'N',9640,'W',NULL,308,'1','1'
'72000','KADG',NULL,'ADRIAN, MI',4152,'N',8404,'W',241,244,'1','1'
'72000','KADM',NULL,'ARDMORE MUNICIPAL A OK, US',3418,'N',9701,'W',NULL,232,'2','1'
'72000','KASJ',NULL,'AHOSKIE, NE',3618,'N',7710,'W',21,NULL,'1','1'
'72000','KANW',NULL,'AINSWORTH MUNI NE.',4235,'N',9959,'W',789,NULL,'1','1'
'72000','KAIT',NULL,'AITKIN, MN',4633,'N',9341,'W',367,NULL,'1','1'
'72000','KAKR',NULL,'AKRON                    OH',4102,'N',8128,'W',NULL,NULL,'1','1'
'72000','KAKO',NULL,'AKRON-WASHINGTON CO.',4010,'N',10313,'W',1431,NULL,'1','1'
'72000','KEET',NULL,'ALABASTER/SHELBY COUNTY AIRPORT, AB',3311,'N',8647,'W',173,178,'2','1'
'72000','KALM',NULL,'ALAMOGORDO/WHITE SANDS, NM',3250,'N',10559,'W',1279,NULL,'1','1'
'72000','KVUJ',NULL,'ALBEMARLE STANLY,NC',3525,'N',8009,'W',NULL,186,'1','1'
'72000','KAEL',NULL,'ALBERT LEA (AWOS)   MN',4341,'N',9322,'W',383,NULL,'1','1'
'72000','KBVN',NULL,'ALBION MUNICIPAL, NB',4143,'N',9803,'W',NULL,550,'1','1'
'72000','KAEG',NULL,'ALBUQUERQUE DOUBLE EAGLE, NM',3509,'N',10648,'W',NULL,1779,'1','1'
'72000','KAXN',NULL,'ALEXADRIA MUNI MN.',4552,'N',9523,'W',434,NULL,'2','1'
'72000','KALX',NULL,'ALEXANDER CITY, AB (AUT)',3255,'N',8558,'W',209,NULL,'2','1'
'72000','KAXA',NULL,'ALGONA              IA',4305,'N',9416,'W',372,NULL,'1','1'
'72000','KALI',NULL,'ALICE INTERNATIONAL, TX',2745,'N',9802,'W',53,54,'2','1'
'72000','KAIA',NULL,'ALLIANCE MUNI.NE.',4203,'N',10248,'W',1198,NULL,'1','1'
'72000','KAMN',NULL,'ALMA   MICH',4319,'N',8441,'W',NULL,228,'2','1'
'72000','KAMG',NULL,'ALMA/BACON COUNTY AIRPORT, GA',3132,'N',8231,'W',59,60,'2','1'
'72000','KE38',NULL,'ALPINE, TX',3023,'N',10341,'W',1376,NULL,'1','1'
'72000','KALN',NULL,'ALTON IL, US',3853,'N',9002,'W',166,NULL,'2','1'
'72000','KAOO',NULL,'ALTOONA BLAIR CO PA.',4018,'N',7819,'W',458,NULL,'1','1'
'72000','KAAT',NULL,'ALTURAS, CA',4130,'N',12034,'W',1333,1331,'1','1'
'72000','KAXS',NULL,'ALTUS QUARTZ MOUNTAIN RGNL, OK',3442,'N',9920,'W',NULL,437,'1','1'
'72000','KAVK',NULL,'ALVA MUNI, OK',3646,'N',9840,'W',NULL,449,'1','1'
'72000','K7R3',NULL,'AMELIA, LA',2942,'N',9106,'W',2,NULL,'2','1'
'72000','KAMW',NULL,'AMES, IOWA',4200,'N',9337,'W',NULL,282,'2','1'
'72000','K79J',NULL,'ANDALUSIA, AL',3119,'N',8624,'W',NULL,94,'1','1'
'72000','KAND',NULL,'ANDERSON   SC',3430,'N',8243,'W',238,NULL,'1','1'
'72000','KAID',NULL,'ANDERSON, IND',4007,'N',8537,'W',NULL,278,'2','1'
'72000','K12N',NULL,'ANDOVER, NJ',4100,'N',7444,'W',177,177,'2','1'
'72000','KRHP',NULL,'ANDREWS, NC',3512,'N',8352,'W',518,NULL,'2','1'
'72000','KIKV',NULL,'ANKENY, IA',4142,'N',9334,'W',275,NULL,'2','1'
'72000','KARB',NULL,'ANN ARBOR A, MICH',4213,'N',8345,'W',254,NULL,'2','1'
'72000','KNAK',NULL,'ANNAPOLIS NAVAL ACADEMY, MD',3859,'N',7629,'W',11,2,'1','1'
'72000','KANB',NULL,'ANNISTON, ALB',3335,'N',8551,'W',187,NULL,'2','1'
'72000','KANE',NULL,'ANOKA        MIN',4509,'N',9313,'W',NULL,275,'2','1'
'72000','KAIG',NULL,'ANTIGO, WI',4509,'N',8907,'W',464,NULL,'2','1'
'72000','KMUI',NULL,'ANVLE/MUIR AAF, PA',4026,'N',7634,'W',149,NULL,'2','1'
'72000','KAQP',NULL,'APPLETON, MN',4514,'N',9600,'W',311,NULL,'2','1'
'72000','KATW',NULL,'APPLETON WISC',4415,'N',8831,'W',NULL,278,'2','1'
'72000','K1F0',NULL,'ARDMORE/EXECUTIVE, OK',3409,'N',9707,'W',257,NULL,'1','1'
'72000','KGKY',NULL,'ARLINGTON, TX',3240,'N',9706,'W',185,192,'2','1'
'72000','KAWO',NULL,'ARLINGTON, WA',4810,'N',12209,'W',42,NULL,'2','1'
'72000','KATS',NULL,'ARTESIA, NM',3251,'N',10428,'W',1081,NULL,'1','1'
'72000','KHBI',NULL,'ASHEBORO, NC',3539,'N',7954,'W',205,NULL,'2','1'
'72000','KASX',NULL,'ASHLAND    WISC',4633,'N',9055,'W',NULL,250,'2','1'
'72000','KHZY',NULL,'ASHTABULA COUNTY AIRPORT, OH',4147,'N',8042,'W',276,281,'2','1'
'72000','KPDK',NULL,'ATLANTA, DEKALB-PEACHTREE, GEO',3353,'N',8318,'W',NULL,304,'2','1'
'72000','KFTY',NULL,'ATLANTA, FULTON CO, GA',3347,'N',8431,'W',NULL,256,'2','1'
'72000','KAIO',NULL,'ATLANTIC            IA',4124,'N',9503,'W',360,NULL,'1','1'
'72000','KAQR',NULL,'ATOKA, OK  (AUT)',3424,'N',9609,'W',NULL,180,'2','1'
'72000','KAUN',NULL,'AUBURN, CA',3857,'N',12105,'W',467,NULL,'1','1'
'72000','KAUO',NULL,'AUBURN-OPELIKA APT  AL',3237,'N',8526,'W',236,NULL,'1','1'
'72000','KLEW',NULL,'AUBURN, MAI',4403,'N',7017,'W',78,NULL,'2','1'
'72000','KADU',NULL,'AUDUBON, IWA',4142,'N',9455,'W',NULL,390,'2','1'
'72000','KAUG',NULL,'AUGUSTA STATE, ME',4419,'N',6948,'W',109,107,'1','1'
'72000','KDNL',NULL,'AUGUSTA  GA',3328,'N',8202,'W',NULL,130,'2','1'
'72000','KUAO',NULL,'AURORA, OR',4515,'N',12246,'W',59,59,'2','1'
'72000','KAUH',NULL,'AURORA, NE',4054,'N',9800,'W',NULL,550,'2','1'
'72000','KAUM',NULL,'AUSTIN, MN',4340,'N',9256,'W',390,NULL,'1','1'
'72000','KU31',NULL,'AUSTIN      NEV',3930,'N',11705,'W',2003,NULL,'1','1'
'72000','KAUS',NULL,'AUSTIN/BERGSTROM INT., TX',3011,'N',9741,'W',172,164,'1','1'
'72000','KBAX',NULL,'BAD AXE   MICH',4347,'N',8259,'W',234,231,'2','1'
'72000','KBGE',NULL,'BAINBRIDGE, GA',3058,'N',8438,'W',NULL,43,'1','1'
'72000','KBHK',NULL,'BAKER MUNICIPAL AIRPORT, MT.',4621,'N',10415,'W',905,902,'1','1'
'72000','KBKE',NULL,'BAKER MUNI OR.',4450,'N',11749,'W',1027,NULL,'1','1'
'72000','KQTO',NULL,'BALAD SOUTHEAST (IRAQ-ORBD)',3356,'N',4422,'E',49,NULL,'1','1'
'72000','KMLJ',NULL,'BALDWIN COUNTY ARPT, GA',3309,'N',8314,'W',117,NULL,'1','1'
'72000','KDMH',NULL,'BALTIMORE/INNER HARBOR, MD',3917,'N',7637,'W',6,NULL,'1','1'
'72000','KBHB',NULL,'BAR HARBOR, MAI.',4427,'N',6822,'W',20,NULL,'2','1'
'72000','KBAD',NULL,'BARKSDALE, LA',3230,'N',9340,'W',51,NULL,'2','1'
'72000','KBVO',NULL,'BARTLESVILLE/FRANK PHILLIPS, OK',3645,'N',9600,'W',218,NULL,'2','1'
'72000','KBVX',NULL,'BATESVILLE (AWOS)   AR',3544,'N',9139,'W',141,NULL,'1','1'
'72000','KBTL',NULL,'BATTLE CREEK MI.',4218,'N',8514,'W',287,NULL,'2','1'
'72000','KB23',NULL,'BATTLE MOUNTAIN      NEB',4037,'N',11653,'W',NULL,1377,'1','1'
'72000','KBDE',NULL,'BAUDETTE     MIN',4843,'N',9436,'W',328,NULL,'2','1'
'72000','KBYY',NULL,'BAY CITY, TX',2858,'N',9552,'W',NULL,14,'2','1'
'72000','KHSA',NULL,'BAY ST LOUIS   MS',3022,'N',8927,'W',7,NULL,'2','1'
'72000','KBIE',NULL,'BEATRICE MUNI NE.',4019,'N',9645,'W',402,NULL,'2','1'
'72000','KNBC',NULL,'BEAUFORT, SC',3329,'N',8043,'W',9,NULL,'1','1'
'72000','KMRH',NULL,'BEAUFORT SMITH FIELD, NC',3444,'N',7639,'W',3,3,'1','1'
'72000','KBUO',NULL,'BEAUMONT, CA',3356,'N',11658,'W',NULL,692,'1','1'
'72000','KDRI',NULL,'BEAUREGARD RGNL, LO',3050,'N',9320,'W',NULL,62,'1','1'
'72000','KBVI',NULL,'BEAVER FALLS  PA',4046,'N',8024,'W',NULL,379,'2','1'
'72000','KSJX',NULL,'BEAVER ISLAND, MI',4542,'N',8534,'W',NULL,204,'2','1'
'72000','KACB',NULL,'BELLAIRE    MICH',4459,'N',8512,'W',191,NULL,'2','1'
'72000','KEFC',NULL,'BELLE FOURCHE       SD',4444,'N',10352,'W',82,NULL,'1','1'
'72000','KBLV',NULL,'BELLEVILLE, IL',3833,'N',8951,'W',138,NULL,'2','1'
'72000','KBLI',NULL,'BELLINGHAM INTL',4848,'N',12232,'W',48,NULL,'1','1'
'72000','KBLM',NULL,'BELMAR-FARMDALE     NJ',4011,'N',7408,'W',48,NULL,'1','1'
'72000','KDDH',NULL,'BENNINGTON VT',4253,'N',7315,'W',NULL,249,'2','1'
'72000','KBBB',NULL,'BENSON, MN',4520,'N',9539,'W',317,NULL,'1','1'
'72000','KBEH',NULL,'BENTON HARBOR, MICH',4208,'N',8626,'W',NULL,195,'1','1'
'72000','KVBT',NULL,'BENTONVILLE (AWOS)  AR',3621,'N',9413,'W',395,NULL,'1','1'
'72000','KBML',NULL,'BERLIN MUNICIPAL    NH',4435,'N',7111,'W',353,NULL,'1','1'
'72000','KBVY',NULL,'BEVERLY, MASS',4235,'N',7055,'W',48,NULL,'2','1'
'72000','KFOZ',NULL,'BIG FORK, MN',4747,'N',9339,'W',411,NULL,'2','1'
'72000','KRQB',NULL,'BIG RAPIDS ROBEN-HOOD AIRPORT, MI',4343,'N',8530,'W',NULL,302,'2','1'
'72000','KBPG',NULL,'BIG SPRING, TX',3213,'N',10131,'W',NULL,784,'2','1'
'72000','KBIX',NULL,'BILOXI, MS',3025,'N',8855,'W',11,NULL,'2','1'
'72000','KBIJ',NULL,'BLAKELY / EARLY Co A GA, US (AUT)',3124,'N',8454,'W',NULL,65,'2','1'
'72000','KBID',NULL,'BLOCK ISLAND RI.',4110,'N',7135,'W',36,NULL,'2','1'
'72000','KBMG',NULL,'BLOOMINGTON,  IND',3908,'N',8637,'W',NULL,257,'2','1'
'72000','KBMI',NULL,'BLOOMINGTON IL, US',4028,'N',8855,'W',NULL,267,'1','1'
'72000','KBLU',NULL,'BLUE CANYON A, CA',3917,'N',12042,'W',1600,NULL,'1','1'
'72000','KBLF',NULL,'BLUEFIELD MERCER COUNTY AIRPORT, WV',3718,'N',8113,'W',873,871,'1','1'
'72000','KBLH',NULL,'BLYTHE,               CA',3337,'N',11443,'W',119,NULL,'2','1'
'72000','KHKA',NULL,'BLYTHEVILLE MUNICIPAL AIRPORT, CA',3556,'N',8950,'W',78,78,'2','1'
'72000','KBCT',NULL,'BOCA RATON, FL',2623,'N',8006,'W',NULL,4,'2','1'
'72000','KTNB',NULL,'BOONE WATAUGA CT, NC',3612,'N',8139,'W',NULL,911,'2','1'
'72000','KBNW',NULL,'BOONE MUNI          IA',4203,'N',9351,'W',354,NULL,'1','1'
'72000','K1B7',NULL,'BOOTHVILLE HELIPORT, LA',2921,'N',8926,'W',NULL,1,'2','1'
'72000','KBGD',NULL,'BORGER HUTCHINSON   TX',3542,'N',10124,'W',931,NULL,'1','1'
'72000','KOVS',NULL,'BOSCOBEL AIRPORT, WI',4309,'N',9041,'W',202,205,'2','1'
'72000','KBFD',NULL,'BRADFORD REGIONAL PA.',4148,'N',7838,'W',653,NULL,'1','1'
'72000','KBRD',NULL,'BRAINERD,  MN',4624,'N',9408,'W',NULL,372,'2','1'
'72000','K48I',NULL,'BRAXTON CO, WV',3841,'N',8039,'W',NULL,387,'2','1'
'72000','KLBX',NULL,'BRAZORIA COUNTY      TX',2907,'N',9528,'W',9,NULL,'2','1'
'72000','KPWT',NULL,'BREMERTON,  WAS',4729,'N',12246,'W',134,NULL,'2','1'
'72000','K11R',NULL,'BRENHAM, TX',3013,'N',9622,'W',NULL,94,'2','1'
'72000','KXBP',NULL,'BRIDGEPORT, TX',3311,'N',9750,'W',260,NULL,'2','1'
'72000','KBBW',NULL,'BROKEN BOW MUNI.NE.',4126,'N',9939,'W',771,NULL,'1','1'
'72000','KBKX',NULL,'BROOKINGS (AWOS)    SD',4418,'N',9649,'W',502,NULL,'1','1'
'72000','K4BK',NULL,'BROOKINGS      OR',4203,'N',12417,'W',NULL,26,'2','1'
'72000','KBOK',NULL,'BROOKINGS      OR',4204,'N',12417,'W',NULL,140,'2','1'
'72000','KBKV',NULL,'BROOKSVILLE, FL',2828,'N',8227,'W',20,NULL,'1','1'
'72000','KBJC',NULL,'BROOMFIELD, COL',3954,'N',10507,'W',NULL,1710,'1','1'
'72000','KBWD',NULL,'BROWNWOOD, TX',3148,'N',9857,'W',NULL,423,'1','1'
'72000','KSSI',NULL,'BRUNSWICK MALCOLM MC KINNON, GA',3109,'N',8123,'W',6,6,'2','1'
'72000','KBQK',NULL,'BRUNSWICK GLYNCO JETPORT, GA',3115,'N',8128,'W',NULL,496,'2','1'
'72000','KBCE',NULL,'BRYCE CANYON AIRPORT, UT',3742,'N',11209,'W',2312,2312,'1','1'
'72000','KW22',NULL,'BUCKHANNON, WV (AUT)',3900,'N',8016,'W',498,NULL,'2','1'
'72000','KCFE',NULL,'BUFFALO, MN',4510,'N',9351,'W',NULL,295,'2','1'
'72000','KBYG',NULL,'BUFFALO, WY',4423,'N',10643,'W',1497,1514,'1','1'
'72000','KIFP',NULL,'BULLHEAD CITY, AZ',3509,'N',11434,'W',211,NULL,'2','1'
'72000','KBUR',NULL,'BURBANK,     CA',3412,'N',11822,'W',222,NULL,'2','1'
'72000','KITR',NULL,'BURLINGTON, COL',3915,'N',10217,'W',NULL,1278,'1','1'
'72000','KBUY',NULL,'BURLINGTON, NC',3603,'N',7929,'W',180,187,'1','1'
'72000','KBUU',NULL,'BURLINGTON, WI (AUT)',4241,'N',8818,'W',NULL,237,'2','1'
'72000','KBVS',NULL,'BURLINGTON/MOUNT VERNON, WA (AUT)',4828,'N',12225,'W',NULL,44,'2','1'
'72000','KBNY',NULL,'BURNEY, CA',4053,'N',12140,'W',NULL,957,'1','1'
'72000','KBMQ',NULL,'BURNEY, TX',3044,'N',9814,'W',389,392,'1','1'
'72000','KBTP',NULL,'BUTLER COUNTY      PA',4046,'N',7956,'W',NULL,378,'2','1'
'72000','KCIR',NULL,'CAIRO, IL',3704,'N',8913,'W',98,NULL,'2','1'
'72000','KCAD',NULL,'CADILLAC   MICH',4417,'N',8525,'W',397,NULL,'2','1'
'72000','KEUL',NULL,'CALDWELL (AWOS)     ID',4338,'N',11638,'W',740,NULL,'1','1'
'72000','KRWV',NULL,'CALDWELL MUNI, TX',3031,'N',9642,'W',NULL,119,'2','1'
'72000','KCMA',NULL,'CAMARILLO, CAL',3413,'N',11906,'W',NULL,27,'2','1'
'72000','KCBG',NULL,'CAMBRIDGE, MN',4534,'N',9316,'W',288,NULL,'2','1'
'72000','K7R5',NULL,'CAMERON, LA',2947,'N',9318,'W',NULL,1,'2','1'
'72000','KCZZ',NULL,'CAMPO,  CAL',3237,'N',11628,'W',797,NULL,'1','1'
'72000','KHHF',NULL,'CANADIAN, TX',3554,'N',10024,'W',730,NULL,'1','1'
'72000','K47A',NULL,'CANTON, GA',3419,'N',8425,'W',NULL,372,'2','1'
'72000','KMDH',NULL,'CARBONDALE IL, US',3747,'N',8915,'W',NULL,130,'2','1'
'72000','KCNM',NULL,'CARLSBAD/CAVERN CITY TERMINAL, NM',3221,'N',10415,'W',985,1003,'1','1'
'72000','KCRQ',NULL,'CARLSBAD CA',3308,'N',11717,'W',NULL,100,'1','1'
'72000','KCUL',NULL,'CARMI, IL',3805,'N',8807,'W',NULL,118,'1','1'
'72000','KCIN',NULL,'CARROLL             IA',4203,'N',9447,'W',375,NULL,'1','1'
'72000','KVPC',NULL,'CARTERSVILLE AIRPORT, GA',3407,'N',8451,'W',222,229,'1','1'
'72000','KCGZ',NULL,'CASA GRANDA (AWOS)  AZ',3257,'N',11146,'W',446,NULL,'1','1'
'72000','KCZK',NULL,'CASCADE LOCKS     OR',4541,'N',12153,'W',NULL,48,'2','1'
'72000','KENL',NULL,'CENTRALIA, IL',3831,'N',8906,'W',NULL,163,'2','1'
'72000','KLLJ',NULL,'CHALLIS A, IDA',4431,'N',11413,'W',1558,NULL,'1','1'
'72000','KE33',NULL,'CHAMA     NM',3654,'N',10635,'W',2348,NULL,'1','1'
'72000','K9V9',NULL,'CHAMBERLAIN,  SD',4346,'N',9919,'W',514,NULL,'2','1'
'72000','KCHD',NULL,'CHANDLER, AZ',3318,'N',11140,'W',NULL,422,'2','1'
'72000','KCQB',NULL,'CHANDLER, OK (AUT)',3543,'N',9649,'W',NULL,300,'2','1'
'72000','KIGX',NULL,'CHAPEL HILL/WILLIAMS AIRPORT, NC',3556,'N',7904,'W',155,155,'2','1'
'72000','KCNC',NULL,'CHARITON            IA',4102,'N',9322,'W',320,NULL,'1','1'
'72000','KCCY',NULL,'CHARLES CITY, IWA',4304,'N',9237,'W',NULL,338,'2','1'
'72000','KCVX',NULL,'CHARLEVOIX MINI, MI',4518,'N',8516,'W',NULL,204,'2','1'
'72000','KFPK',NULL,'CHARLOTTE, MI',4234,'N',8449,'W',NULL,272,'2','1'
'72000','KCQX',NULL,'CHATHAM MUNI ARPT   MA',4141,'N',7000,'W',19,NULL,'1','1'
'72000','KSLH',NULL,'CHEBOYGAN, MI',4539,'N',8431,'W',NULL,195,'2','1'
'72000','KCWF',NULL,'CHENAULT AIRPARK,  LA',3013,'N',9309,'W',4,NULL,'2','1'
'72000','KCKP',NULL,'CHEROKEE MUNI, IO',4244,'N',9534,'W',374,NULL,'2','1'
'72000','KCPK',NULL,'CHESAPEAKE, VA',3640,'N',7619,'W',6,NULL,'2','1'
'72000','KSUS',NULL,'CHESTERFIELD   MISS',3840,'N',9039,'W',140,NULL,'2','1'
'72000','KDPA',NULL,'CHICAGO DUPAGE IL, US',4155,'N',8815,'W',NULL,231,'2','1'
'72000','KIGQ',NULL,'CHICAGO LANSING, IL',4132,'N',8732,'W',NULL,188,'2','1'
'72000','KCGX',NULL,'CHICAGO MEIGS IL, US',4152,'N',8735,'W',NULL,181,'2','1'
'72000','KPWK',NULL,'CHICAGO PAL-WAUKEE IL, US',4207,'N',8754,'W',NULL,203,'2','1'
'72000','KCHK',NULL,'CHICKASHA, OK',3506,'N',9758,'W',NULL,351,'2','1'
'72000','KCIC',NULL,'CHICO,  CA',3948,'N',12151,'W',NULL,82,'2','1'
'72000','KCDJ',NULL,'CHILLICOTHE, MO',3949,'N',9335,'W',234,NULL,'2','1'
'72000','KCNO',NULL,'CHINO CA',3358,'N',11738,'W',NULL,206,'2','1'
'72000','KCIU',NULL,'CHIPPEWA   INT     MI',4615,'N',8428,'W',NULL,244,'1','1'
'72000','KLUK',NULL,'CINCINNATI   LUNKEN FIELD   OH',3906,'N',8426,'W',151,NULL,'2','1'
'72000','KGCM',NULL,'CLAREMORE, OK',3618,'N',9529,'W',NULL,221,'1','1'
'72000','KICL',NULL,'CLARINDA            IA',4043,'N',9502,'W',303,NULL,'1','1'
'72000','KCAV',NULL,'CLARION             IA',4245,'N',9346,'W',354,NULL,'1','1'
'72000','KCKB',NULL,'CLARKSBURG, WV (AUT)',3917,'N',8014,'W',358,NULL,'2','1'
