stationintlid, stationalphaid , canregcode, stationname, latdegmin, latitudecardinaldirection , londegmin, longitudecardinaldirection , stationelevation, terrainelevation, dataavailabilitycode, stationreliabilityflag
'60550','DAOY',NULL,'EL-BAYADH, DZ',3340,'N',100,'E',1347,1341,'3','1'
'60555','DAUK',NULL,'TOUGGOURT, DZ',3307,'N',608,'E',92,87,'2','1'
'60557','DAMN',NULL,'NAAMA, DZ',3316,'N',18,'W',1166,NULL,'3','1'
'60559','DAUO',NULL,'EL-OUED, DZ',3330,'N',647,'E',69,64,'2','1'
'60560','DAOA',NULL,'AIN-SEFRA, DZ',3246,'N',36,'W',1059,1058,'3','1'
'60563','DAFH',NULL,'HASSIRnullMEL, DZ',3256,'N',317,'E',764,763,'3','1'
'60566','DAUG',NULL,'GHARDAIA, DZ',3224,'N',348,'E',469,468,'2','1'
'60571','DAOR',NULL,'BECHAR, DZ',3130,'N',215,'W',816,809,'3','1'
'60580','DAUU',NULL,'OUARGLA, DZ',3156,'N',524,'E',148,144,'2','1'
'60581','DAUH',NULL,'HASSI-MESSAOUD, DZ',3140,'N',609,'E',144,142,'2','1'
'60590','DAUE',NULL,'EL-GOLEA, DZ',3034,'N',252,'E',403,397,'2','1'
'60602','DAUS',NULL,'BENI-ABBES, DZ',3008,'N',210,'W',505,500,'2','1'
'60603','DAMR',NULL,'RHOURD NOUSS, DZ',2943,'N',642,'E',252,253,'2','1'
'60605',NULL,NULL,'OUTAT OULAD EL HAZ, MA',3321,'N',219,'W',800,800,'1','1'
'60607','DAUT',NULL,'TIMIMOUN, DZ',2915,'N',17,'E',317,312,'2','1'
'60608',NULL,NULL,'BORDJ OMAR DRISS, DZ',2808,'N',650,'E',387,387,'2','1'
'60610',NULL,NULL,'EDJELEH, LIBYAN ARAB JAMAHIRIYA',2749,'N',958,'E',NULL,466,'2','1'
'60611','DAUZ',NULL,'IN-AMENAS, DZ',2803,'N',938,'E',562,561,'2','1'
'60619',NULL,NULL,'AIN HADJAJ, DZ',2745,'N',431,'E',NULL,50,'2','1'
'60620','DAUA',NULL,'ADRAR, DZ',2753,'N',11,'W',283,279,'2','1'
'60621',NULL,NULL,'IN GUEZZAM, DZ',1934,'N',545,'E',NULL,400,'2','1'
'60630','DAUI',NULL,'IN-SALAH, DZ',2714,'N',230,'E',269,268,'2','1'
'60633',NULL,NULL,'IN ZIZA, DZ',2328,'N',232,'E',NULL,515,'2','1'
'60640','DAAP',NULL,'ILLIZI, DZ',2630,'N',825,'E',544,543,'2','1'
'60645',NULL,NULL,'REGGANE, DZ',2643,'N',9,'E',220,220,'2','1'
'60650',NULL,NULL,'AMGUID, DZ',2623,'N',519,'E',NULL,612,'1','1'
'60656','DAOF',NULL,'TINDOUF, DZ',2742,'N',810,'W',439,443,'2','1'
'60660',NULL,NULL,'ARAK, DZ',2515,'N',346,'E',NULL,945,'1','1'
'60661',NULL,NULL,'ABDENNIZI, DZ',2513,'N',507,'E',NULL,817,'1','1'
'60663',NULL,NULL,'MOULAY LACHEN, DZ',2445,'N',439,'E',NULL,927,'1','1'
'60670','DAAJ',NULL,'DJANET, DZ',2416,'N',928,'E',970,968,'3','1'
'60671',NULL,NULL,'SEROUENET, DZ',2418,'N',728,'E',1115,1115,'1','1'
'60672',NULL,NULL,'MERTOUEK, DZ',2413,'N',534,'E',NULL,1320,'1','1'
'60675',NULL,NULL,'OUALLENE,ADR, DZ',2436,'N',114,'E',246,346,'2','1'
'60676',NULL,NULL,'IN-EZZANE/ILLIZI, DZ',2329,'N',1114,'E',NULL,912,'1','1'
'60677',NULL,NULL,'ABANKOR, DZ',2423,'N',316,'E',NULL,623,'1','1'
'60679',NULL,NULL,'ASSEKREM, DZ',2316,'N',538,'E',NULL,2680,'1','1'
'60680','DAAT',NULL,'TAMANRASSET, DZ',2248,'N',526,'E',1364,1362,'3','1'
'60686','DATM',NULL,'BORDJ-BADJ-MOKHTAR, DZ',2120,'N',57,'E',399,398,'2','1'
'60690','DATG',NULL,'IN-GUEZZAM, DZ',1934,'N',546,'E',401,400,'2','1'
'60710','DTKA',NULL,'TABARKA, TN',3657,'N',845,'E',21,20,'2','1'
'60714','DTTB',NULL,'BIZERTE, TN',3715,'N',948,'E',3,5,'2','1'
'60715','DTTA',NULL,'TUNIS-CARTHAGE, TS',3650,'N',1014,'E',4,4,'2','1'
'60720','DTTL',NULL,'KELIBIA, TN',3651,'N',1105,'E',30,29,'2','1'
'60723',NULL,NULL,'BEJA, TN',3644,'N',911,'E',159,158,'2','1'
'60725','DTTN',NULL,'JENDOUBA, TN',3629,'N',848,'E',144,143,'2','1'
'60728',NULL,NULL,'NABEUL, TN',3628,'N',1042,'E',78,NULL,'2','1'
'60729',NULL,NULL,'ZAGHONAN, TN',3636,'N',1005,'E',156,NULL,'2','1'
'60731',NULL,NULL,'ENFIDHA, TN',3604,'N',1027,'E',3,3,'2','1'
'60732',NULL,NULL,'LE KEF, TN',3608,'N',842,'E',518,NULL,'2','1'
'60734',NULL,NULL,'SILIANA, TN',3604,'N',922,'E',445,443,'2','1'
'60735','DTTK',NULL,'KAIROUAN, TN',3540,'N',1006,'E',68,60,'2','1'
'60738','DTTH',NULL,'THALA, TN',3533,'N',841,'E',1092,1091,'3','1'
'60739',NULL,NULL,'KASSERINE, TN',3510,'N',850,'E',707,707,'1','1'
'60740',NULL,NULL,'MONASTIR-SKANES, TN',3540,'N',1045,'E',3,2,'2','1'
'60742',NULL,NULL,'MAHDIA, TN',3530,'N',1104,'E',12,NULL,'2','1'
