stationalphaid, latitude, longitude, terrainelevation, unknown1, stationname, stationintlid, stationintlid2, unknown2, inputfile
'YQT',48.371944,270.678333,0.654,NULL,'THUNDER BAY, ONT',71749,NULL,'W 6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUJ',53.0,262.4,0.712,1,'53N       98W',NULL,NULL,'W12','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUI',52.0,259.0,0.299,1,'52N       101W',NULL,NULL,'W 7','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQD',53.971389,258.909889,0.888,2,'THE PAS, MAN',71867,NULL,'W15','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YVC',55.151389,254.738056,1.242,NULL,'LA RONGE, SASK',71922,NULL,'R11','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YFN',57.366667,252.866667,1.588,NULL,'CREE LAKE, SASK',71920,NULL,'R12','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYL',56.863889,258.923889,1.17,NULL,'LYNN LAKE, MAN',71078,NULL,'W19','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUC',55.0,265.0,0.6,1,'55N       95W',NULL,NULL,'W17','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYQ',58.739167,265.934611,0.096,2,'CHURCHILL, MAN',71913,NULL,'W21','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUD',60.0,275.0,0.0,1,'60N       85W',NULL,NULL,'A26','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUB',65.0,255.0,0.991,1,'65N       105W',NULL,NULL,'A23','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YEI',61.133333,259.083333,1.158,NULL,'ENNADAI LAKE, NWT',71923,NULL,'A23','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YBK',64.298889,263.922222,0.061,2,'BAKER LAKE, NWT',71926,NULL,'A24','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YRT',62.810556,267.885278,0.106,NULL,'RANKIN INLET, NWT',71063,NULL,'A24','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YZS',64.193333,276.640556,0.204,2,'CORAL HARBOUR, NWT',71915,NULL,'A25','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YRL',51.067222,266.206944,1.266,NULL,'RED LAKE, ONT',71854,NULL,'W 9','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YTL',53.817778,270.103056,0.73,2,'BIG TROUT LAKE, ONT',71848,NULL,'W18','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUE',55.0,275.0,0.098,1,'55N       85W',NULL,NULL,'T 6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WKZ',57.0,271.0,0.0,1,'57N       89W',NULL,NULL,'W22','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WKJ',63.0,253.0,1.25,1,'63N       107W',NULL,NULL,'A22','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WLR',61.0,280.0,0.0,1,'61N       80W',NULL,NULL,'A25','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'VBI',49.466667,265.95,1.184,NULL,'SIOUX NARROWS, ONT',NULL,NULL,'W 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYW',50.290278,271.090278,1.058,NULL,'ARMSTRONG, ONT',71841,NULL,'W11','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YMO',51.291111,279.392222,0.03,2,'MOOSONEE, ONT',71836,NULL,'T 5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYU',49.411667,277.531389,0.743,NULL,'KAPUSKASING, ONT',71831,NULL,'T 5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
