stationalphaid, latitude, longitude, terrainelevation, unknown1, stationname, stationintlid, stationintlid2, unknown2, inputfile
'WFB',72.0,298.0,0.0,1,'72N       62W',NULL,NULL,'A36','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WFC',66.0,306.0,0.0,1,'66N       54W',NULL,NULL,'A35','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YMD',76.233333,240.666667,0.007,2,'MOULD BAY, NWT',71072,NULL,'A39','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YIC',78.783333,256.45,0.19,2,'ISACHSEN, NWT',71074,NULL,'A40','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YEU',79.994444,274.188056,0.269,2,'EUREKA, NWT',71917,NULL,'A42','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YLT',82.517778,297.719444,0.1,2,'ALERT, NWT',71082,NULL,'A42','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XCN',76.5,291.166667,0.528,1,'76N       69W',NULL,NULL,'A41','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WPM',47.0,311.0,0.0,1,'47N       49W',NULL,NULL,'G 8','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WJQ',76.0,220.0,0.0,1,'76N       140W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WLL',82.0,220.0,0.0,1,'82N       140W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XBT',84.0,260.0,0.0,1,'84N       100W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XDJ',89.0,220.0,0.0,1,'89N       140W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WKQ',85.0,290.0,0.0,1,'85N       70W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WRS',78.0,230.0,0.0,1,'78N       130W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WDG',80.0,245.0,0.0,1,'80N       115W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WCM',70.0,245.0,0.846,1,'70N       115W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WCK',74.0,225.0,0.0,1,'74N       135W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WFK',89.0,285.0,0.0,1,'89N        75W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XDH',74.5,277.5,0.0,1,'75N        83W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XAA',85.0,220.0,0.0,1,'85N       140W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XAB',85.0,240.0,0.0,1,'85N       120W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XAD',85.0,270.0,0.0,1,'85N        90W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XAE',85.0,300.0,0.0,1,'85N        60W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XBA',80.0,220.0,0.0,1,'80N       140W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XBB',80.0,240.0,0.0,1,'80N       120W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XBM',80.0,260.0,0.003,1,'80N       100W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XBS',80.0,300.0,1.024,1,'80N        60W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XCB',77.5,230.0,0.0,1,'78N       130W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XCC',77.5,250.0,0.0,1,'78N       110W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XCE',77.5,270.0,0.066,1,'78N        90W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XCF',77.5,285.0,0.0,1,'78N        75W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XDA',75.0,220.0,0.0,1,'75N       140W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XDB',75.0,230.0,0.0,1,'75N       130W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XDC',75.0,240.0,0.0,1,'75N       120W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XDD',75.0,250.0,0.469,1,'75N       110W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XDF',75.0,290.0,0.0,1,'75N        70W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XEE',70.0,220.0,0.0,1,'70N       140W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XEF',70.0,230.0,0.003,1,'70N       130W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XEH',70.0,240.0,0.0,1,'70N       120W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XEJ',70.0,270.0,0.0,1,'70N        90W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XEK',70.0,300.0,0.0,1,'70N        60W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WOP',67.0,310.0,1.03,1,'67N        50W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WZJ',81.1,289.7,4.268,1,'81N        70W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WOM',58.0,300.0,0.0,1,'58N        60W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WOX',59.0,310.0,0.0,1,'59N        50W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WPV',67.0,300.0,0.0,1,'67N        60W',NULL,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
