StationIntlId,StationAlphaId,CanRegCode,StationName,Latitude,Longitude,StationElevation,TerrainElevation,FictiveStationFlag,SpookiStationKey,ProductName
-52,WCK,,7400N 13500W,74,-135,,0,1,-52WCK7400N22500E,[FB]
-53,WFK,,8900N 07500W,89,-75,,0,1,-53WFK8900N28500E,[FB]
-54,XDH,,7430N 08230W,74.5,-82.5,,0,1,-54XDH7450N27750E,[FB]
-55,XAA,,8500N 14000W,85,-140,,0,1,-55XAA8500N22000E,[FB]
-56,XAB,,8500N 12000W,85,-120,,0,1,-56XAB8500N24000E,[FB]
-57,XAD,,8500N 09000W,85,-90,,0,1,-57XAD8500N27000E,[FB]
-58,XAE,,8500N 06000W,85,-60,,0,1,-58XAE8500N30000E,[FB]
-59,XBA,,8000N 14000W,80,-140,,0,1,-59XBA8000N22000E,[FB]
-60,XBB,,8000N 12000W,80,-120,,0,1,-60XBB8000N24000E,[FB]
-61,XBM,,8000N 10000W,80,-100,,1,1,-61XBM8000N26000E,[FB]
-62,XBS,,8000N 06000W,80,-60,,312,1,-62XBS8000N30000E,[FB]
-63,XCB,,7730N 13000W,77.5,-130,,0,1,-63XCB7750N23000E,[FB]
-64,XCC,,7730N 11000W,77.5,-110,,0,1,-64XCC7750N25000E,[FB]
-65,XCE,,7730N 09000W,77.5,-90,,20,1,-65XCE7750N27000E,[FB]
-66,XCF,,7730N 07500W,77.5,-75,,0,1,-66XCF7750N28500E,[FB]
-67,XDA,,7500N 14000W,75,-140,,0,1,-67XDA7500N22000E,[FB]
-68,XDB,,7500N 13000W,75,-130,,0,1,-68XDB7500N23000E,[FB]
-69,XDC,,7500N 12000W,75,-120,,0,1,-69XDC7500N24000E,[FB]
-70,XDD,,7500N 11000W,75,-110,,143,1,-70XDD7500N25000E,[FB]
-71,XDF,,7500N 07000W,75,-70,,0,1,-71XDF7500N29000E,[FB]
-72,XEE,,7000N 14000W,70,-140,,0,1,-72XEE7000N22000E,[FB]
-73,XEF,,7000N 13000W,70,-130,,1,1,-73XEF7000N23000E,[FB]
-74,XEH,,7000N 12000W,70,-120,,0,1,-74XEH7000N24000E,[FB]
-75,XEJ,,7000N 09000W,70,-90,,0,1,-75XEJ7000N27000E,[FB]
-76,XEK,,7000N 06000W,70,-60,,0,1,-76XEK7000N30000E,[FB]
-77,WOP,,6700N 05000W,67,-50,,314,1,-77WOP6700N31000E,[FB]
-78,WZJ,,8106N 07018W,81.08,-70.28,,1301,1,-78WZJ8108N28972E,[FB]
-79,WOM,,5800N 06000W,58,-60,,0,1,-79WOM5800N30000E,[FB]
-80,WOX,,5900N 05000W,59,-50,,0,1,-80WOX5900N31000E,[FB]
-81,WPV,,6700N 06000W,67,-60,,0,1,-81WPV6700N30000E,[FB]
