name,symbol,expression,bias,factor,mass,length,time,electricCurrent,temperature,amountOfSubstance,luminousIntensity
waveNumber,m-1,m^(-1),0.0,1.0,0,-1,0,0,0,0,0
massDensity,kg/m3,kg·m^(-3),0.0,1.0,1,-3,0,0,0,0,0
microgram_per_cubicMeter,ug/m3,kg·m^(-3),0.0,1.0e-09,1,-3,0,0,0,0,0
specificVolume,m3/kg,m^(3)·kg^(-1),0.0,1.0,-1,3,0,0,0,0,0
currentDensity,A/m2,A·m^(-2),0.0,1.0,0,-2,0,1,0,0,0
magneticFieldStrength,A/m,A·m^(-1),0.0,1.0,0,1,0,1,0,0,0
amountOfSubstanceConcentration,mol/m3,mol·m^(-3),0.0,1.0,0,-3,0,0,0,1,0
luminance,cd/m2,cd·m^(-2),0.0,1.0,0,-2,0,0,0,0,1
massFraction,,,0.0,1.0,0,0,0,0,0,0,0
radian,rad,m·m^(-1),0.0,1.0,0,0,0,0,0,0,0
steradian,sr,m^(2)·m^(-2),0.0,1.0,0,0,0,0,0,0,0
degreeAngle,°,m·m^(-1),0.0,0.0174532925,0,0,0,0,0,0,0
minuteAngle,,m·m^(-1),0.0,0.000290888209,0,0,0,0,0,0,0
secondAngle,,m·m^(-1),0.0,4.84813681e-06,0,0,0,0,0,0,0
neper,Np,,0.0,1.0,0,0,0,0,0,0,0
hertz,Hz,s^(-1),0.0,1.0,0,0,-1,0,0,0,0
newton,N,kg·m·s^(-2),0.0,1.0,1,1,-2,0,0,0,0
pascal,Pa,N·m^(-2),0.0,1.0,1,-1,-2,0,0,0,0
hectoPascal,hPa,N·m^(-2),0.0,100.0,1,-1,-2,0,0,0,0
millibar,mbar,N·m^(-2),0.0,100.0,1,-1,-2,0,0,0,0
kilopascal,kPa,N·m^(-2),0.0,1000.0,1,-1,-2,0,0,0,0
bar,bar,N·m^(-2),0.0,100000.0,1,-1,-2,0,0,0,0
megapascal,MPa,N·m^(-2),0.0,1000000.0,1,-1,-2,0,0,0,0
atmosphere,atm,N·m^(-2),0.0,101325.0,1,-1,-2,0,0,0,0
millimetersOfMercury,mmHg,N·m^(-2),0.0,133.32237,1,-1,-2,0,0,0,0
pound_per_squareInch,PSI,N·m^(-2),0.0,6894.757,1,-1,-2,0,0,0,0
